"Compounds ID"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: mzCloud Search"	"Annotation Source: Metabolika Search"	"Annotation Source: ChemSpider Search"	"FISh Coverage"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# Metabolika Pathways"	"Metabolika Pathways"	"mzCloud Best Match"	"mzCloud Best Sim. Match"	"MS2"	"Area: TRB00001_Blank_1.raw (F29)"	"Area: UMB00001_Blank_1.raw (F30)"	"Area: SCBIBlank4_1.raw (F31)"	"Area: SERCBLANK_2.raw (F32)"	"Area: SB00054_ACERRU.raw (F1)"	"Area: SB00061_ACERRU.raw (F2)"	"Area: SB00158_ACERRU.raw (F3)"	"Area: SB00174_ACERRU.raw (F4)"	"Area: SB00237_ACERRU.raw (F5)"	"Area: SBP00000_ACERRU.raw (F6)"	"Area: SR00044_ACERRU.raw (F7)"	"Area: SR00048_ACERRU.raw (F8)"	"Area: SR00054_ACERRU.raw (F9)"	"Area: SR00058_ACERRU.raw (F10)"	"Area: SR00063_ACERRU.raw (F11)"	"Area: SRP00001_ACERRU.raw (F12)"	"Area: TR00003_ACERRU.raw (F13)"	"Area: TR00007_ACERRU.raw (F14)"	"Area: TR00016_ACERRU.raw (F15)"	"Area: TR00021_ACERRU.raw (F16)"	"Area: TR00073_ACERRU.raw (F17)"	"Area: TRP00001_ACERRU.raw (F18)"	"Area: UM00109_ACERRU.raw (F19)"	"Area: UM00110_ACERRU.raw (F20)"	"Area: UM00113_ACERRU.raw (F21)"	"Area: UM00143_ACERRU.raw (F22)"	"Area: UM00144_ACERRU.raw (F23)"	"Area: UM00149_ACERRU.raw (F24)"	"Area: UM00160_ACERRU.raw (F25)"	"Area: UMP0001_ACERRU.raw (F26)"	"Group Area: Control"	"Group Area: Sample"	"Group CV [%]: Control"	"Group CV [%]: Sample"	"Ratio: (Sample) / (Control)"	"Log2 Fold Change: (Sample) / (Control)"	"P-value: (Sample) / (Control)"	"Adj. P-value: (Sample) / (Control)"
"1"	"Erucamide"	"C22 H43 N O"	"Full match"	"Full match"	"No results"	"No results"	""	"337.33411"	"17.215"	"29637964532.8968"	"0"	"7"	"0"	""	"97.3"	"86.0"	"PreferredDDA"	"420569838.008492"	"7930406137.83935"	"1967675386.7102"	"1563594489.48912"	"2235531389.87448"	"1670624499.18513"	"2756611322.8773"	"2301396767.13226"	"2561842600.15661"	"2779754499.69782"	"2666694050.79584"	"2699279241.18916"	"2572442383.60401"	"2465559340.02395"	"2430475241.35475"	"29637964532.8968"	"644070154.413555"	"675321171.742039"	"585056849.777089"	"1833244243.90365"	"1425846454.55406"	"3843104205.26659"	"3694611486.74417"	"4209829632.766"	"3323664555.46255"	"4416367016.38778"	"4019804538.71353"	"4935371283.38744"	"4017879718.45767"	"8201302527.41723"	"1765634938.09966"	"2682986645.9925"	"113.475120960694"	"138.673951180502"	"1.520"	"0.60"	"0.541081762079933"	"0.683805948148707"
"2"	"(3S,4S,5S,6R)-4,5-dihydroxy-6-[(3,4,5-trihydroxybenzoyloxy)methyl]oxan-3-yl 3,4,5-trihydroxybenzoate"	"C20 H20 O13"	"Full match"	"Full match"	"No results"	"No results"	""	"468.09009"	"6.910"	"17928936705.0426"	"0"	"1"	"0"	""	"99.4"	""	"PreferredDDA"	"157089.390502431"	"157783.624788365"	"158362.175887438"	"678164.708503764"	"12017840814.6164"	"10576922872.2589"	"16728675137.1834"	"13406789536.1447"	"12476295269.0186"	"13586639785.7153"	"13319080975.3771"	"12765875849.0141"	"13979308899.9916"	"13103584981.632"	"13871177175.6306"	"17928936705.0426"	"11790658994.2939"	"11553373355.4705"	"10288192348.0389"	"12678600218.8383"	"15217831514.4157"	"17488980560.0505"	"2313978028.20739"	"3625775058.12484"	"3458654818.08926"	"4111344059.56481"	"3652650158.68549"	"5348853351.75233"	"4374246225.86461"	"5904632682.69414"	"158072.900337901"	"12247068041.8175"	"90.3979035243356"	"45.3136340040557"	"77477.341"	"16.24"	"2.17149280534274E-05"	"5.33562332593104E-05"
"78"	"(3S,4S,5S,6R)-4,5-dihydroxy-6-[(3,4,5-trihydroxybenzoyloxy)methyl]oxan-3-yl 3,4,5-trihydroxybenzoate"	"C20 H20 O13"	"Full match"	"Full match"	"No results"	"No results"	""	"468.08904"	"7.017"	"12551707247.4173"	"0"	"1"	"0"	""	"99.9"	""	"PreferredDDA"	"87605.1565696363"	"78133.5773004235"	"49847.2881827478"	"41085.6779075723"	"103360295.660495"	"425286206.722735"	"856263037.083009"	"290110224.454341"	"104115781.770264"	"101056031.509277"	"1233855302.25233"	"202265495.714571"	"302893334.928042"	"70149477.7128861"	"12551707247.4173"	"85674711.8684568"	"52263203.0038495"	"41233255.9703011"	"189435478.027487"	"66663708.3768154"	"315939198.995784"	"506774012.640355"	"842173893.687789"	"1214350586.40345"	"1344058817.52724"	"150787465.112761"	"893964596.010323"	"64257859.6136232"	"109485204.691917"	"217458314.797195"	"63990.4327415857"	"209861905.255883"	"34.6399166201366"	"281.628028127469"	"3279.583"	"11.68"	"2.47617483486245E-16"	"5.20818935935339E-15"
"7"	"(2S)-3-(beta-D-Galactopyranosyloxy)-1,2-propanediyl (9Z,12Z,15Z,9'Z,12'Z,15'Z)bis(-9,12,15-octadecatrienoate)"	"C45 H74 O10"	"Full match"	"No results"	"No results"	"Full match"	""	"774.52774"	"17.652"	"9290161502.78613"	"1"	"0"	"0"	""	""	""	"PreferredDDA"	"76345205.9904949"	"3783720.03204341"	"34237274.5122528"	"52618857.6589765"	"6994504380.81645"	"7775325186.75977"	"6688676043.65382"	"7169461039.74656"	"6084649919.78732"	"5888994482.78492"	"6121443891.23178"	"7346926385.381"	"5461712256.73742"	"4518014539.25605"	"5335741863.55912"	"5526560676.28093"	"705780844.448124"	"1158702177.13445"	"909277792.324998"	"738408651.292227"	"3569686073.4897"	"9290161502.78613"	"343796471.705945"	"359479113.122548"	"809185685.571416"	"1512698309.64069"	"913627754.814123"	"1835285781.95427"	"1301197102.31188"	"3301780177.66711"	"43428066.0856147"	"4043850306.37287"	"73.3490083739376"	"72.8203051549199"	"93.116"	"6.54"	"0.00422357877456071"	"0.00755825529828228"
"6"	"[(2R,3S,4R,5S)-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate"	"C13 H16 O9"	"Full match"	"Full match"	"Partial match"	"Partial match"	""	"316.07932"	"3.130"	"6877478263.24326"	"1"	"2"	"1"	"Other"	"98.4"	""	"PreferredDDA"	"121801.815862305"	"63506.9811375245"	"122024.403590792"	"109584.135973971"	"4279311659.64831"	"1584250671.11095"	"3873268177.69011"	"2996634325.94076"	"4530884113.97481"	"4150439638.37542"	"1351101696.19781"	"3517982834.72127"	"1848647102.83075"	"1456857846.1934"	"1898780814.44266"	"679784080.5053"	"4357005889.42"	"1109558324.89006"	"2331938858.7993"	"2448157623.68405"	"6877478263.24326"	"3659246035.39894"	"110216590.787754"	"117507247.754535"	"146849792.144296"	"142139199.620459"	"114999111.44329"	"88158005.0003119"	"74133318.6263707"	"661359939.698424"	"115692.975918138"	"1716448886.97085"	"26.6369623745439"	"88.3172304423983"	"14836.241"	"13.86"	"3.94389781199368E-20"	"2.01710653594417E-18"
"12"	"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}-4H-chromen-4-one"	"C21 H20 O11"	"Full match"	"Full match"	"Full match"	"Full match"	""	"448.10019"	"8.650"	"5437648608.99897"	"12"	"4"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"99.6"	""	"PreferredDDA"	"117047.686063642"	"91204.9094895666"	"466046.200776975"	"5748383.22971177"	"798377381.429024"	"719197799.284287"	"939808145.430197"	"3209605362.75052"	"671894210.811103"	"1465855972.97039"	"1902633607.17658"	"2418191342.32807"	"1863356856.76639"	"1938998613.04197"	"2422112886.95325"	"2485545110.68416"	"3595522219.06987"	"4701688051.25775"	"3844198606.91715"	"4548707704.13858"	"5437648608.99897"	"4396071174.34909"	"853472760.730798"	"827418105.568876"	"611224454.770697"	"900342739.38199"	"794899110.807924"	"986098545.282331"	"1054876440.13614"	"1462593495.08384"	"291546.943420308"	"1664606414.86839"	"172.332573958762"	"70.1923229323099"	"5709.566"	"12.48"	"0.00275543843156564"	"0.00503490169997944"
"11"	"[(2R,3S,4R,5S)-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate"	"C13 H16 O9"	"Full match"	"Full match"	"Partial match"	"Partial match"	""	"316.07927"	"2.479"	"5133658170.8336"	"1"	"5"	"1"	"Other"	"99.3"	"62.9"	"PreferredDDA"	"100511.522322717"	"68761.2557450824"	"99618.3408671433"	"91670.1449262422"	"1410847208.29963"	"892262002.919581"	"1676323016.31986"	"1756337590.05501"	"2463407474.51389"	"2068607693.84207"	"3376456177.70764"	"2231182758.26795"	"1699439595.00594"	"1969803785.39377"	"1309170667.46227"	"867295178.120752"	"3830939986.0706"	"3962655674.72638"	"2941351363.04782"	"5133658170.8336"	"5019718988.26126"	"3962848318.80331"	"123255717.944853"	"105164660.166949"	"110319172.01493"	"43407883.3195399"	"47641794.3950564"	"91358314.6464394"	"99228873.2957116"	"703324708.692581"	"95644.2428966928"	"1687881305.6629"	"16.4148414924501"	"86.3457826492774"	"17647.495"	"14.11"	"3.28290924623237E-22"	"2.77527922972818E-20"
"15"	"Quercetin"	"C15 H10 O7"	"Full match"	"Full match"	"Full match"	"Full match"	""	"302.04236"	"8.647"	"4427721392.39496"	"3"	"18"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"98.6"	""	"PreferredDDA"	"46494.1532544529"	"36129.5745811891"	"82169.1349846112"	"449631.946410244"	"939139096.814037"	"785897628.307795"	"1029817394.48995"	"3741656248.51393"	"611503726.847643"	"1438538559.11146"	"1975775201.57867"	"2610464385.14863"	"1806268412.31874"	"1977381484.27047"	"2676932556.39535"	"2586191622.00333"	"2395758454.63993"	"3479522885.26273"	"2537437302.85384"	"3213412495.31528"	"4427721392.39496"	"3719856452.34077"	"1523690140.18671"	"1641590372.64379"	"1028175510.3745"	"2127968201.44055"	"1606209116.14728"	"2470148988.64253"	"2116352136.70039"	"2480703865.79378"	"64331.644119532"	"2122160169.07047"	"129.118001758928"	"44.7183937471679"	"32987.812"	"15.01"	"0.000291135845084973"	"0.000601378949792849"
"18"	"Methyl (3S,4S,21R)-14-ethyl-13-formyl-4,8,18-trimethyl-20-oxo-3-(3-oxo-3-{[(2E,7R,11R)-3,7,11,15-tetramethyl-2-hexadecen-1-yl]oxy}propyl)-9-vinyl-21-phorbinecarboxylate"	"C55 H72 N4 O6"	"Full match"	"No results"	"No results"	"Full match"	""	"884.54461"	"20.340"	"4276943472.04474"	"1"	"0"	"0"	""	""	""	"PreferredDDA"	"9483085.70520689"	"762492.899503005"	"2073172.57239528"	"5629518.9769655"	"1757244026.36459"	"2147890419.56687"	"1800877041.44266"	"2052937353.35826"	"1167710054.42486"	"873725663.019613"	"1946805102.79617"	"1551420162.78407"	"1629232625.11693"	"1696734194.18371"	"1145302351.38756"	"126606688.278775"	"193684036.803678"	"132410754.546687"	"73453057.1261318"	"600202599.791198"	"1262296867.65475"	"4276943472.04474"	"550194055.344933"	"598696646.088023"	"643958828.20537"	"1006638081.52313"	"836617707.152685"	"1128244367.1828"	"770041570.738848"	"1852480598.91828"	"3851345.77468039"	"1136773359.28518"	"87.234677616698"	"72.6904065141254"	"295.163"	"8.21"	"0.000894005621262348"	"0.00173855199617729"
"21"	"[(2R,3S,4R,5S)-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate"	"C13 H16 O9"	"Full match"	"Full match"	"Partial match"	"Partial match"	""	"316.07940"	"3.361"	"3873268177.69011"	"1"	"2"	"1"	"Other"	"98.8"	""	"PreferredDDA"	"121451.228623063"	"60409.4653761338"	"120696.420013374"	"117414.473683909"	"1282349541.26274"	"495650998.818311"	"3873268177.69011"	"2996634325.94076"	"115196686.119204"	"137956853.089963"	"1351003922.25811"	"200811329.586231"	"134428477.022886"	"115711611.289888"	"1898780814.44266"	"983767396.8367"	"223920741.744703"	"84506465.4539669"	"113437368.317053"	"127655807.445283"	"477180844.142301"	"3659246035.39894"	"107121988.49158"	"26808903.7167346"	"46099582.7969394"	"41687438.4972207"	"27943066.6573055"	"18609400.1325893"	"18581103.5243367"	"163547072.881535"	"119055.446848642"	"136192665.056424"	"28.3580130449626"	"158.686972307013"	"1143.943"	"10.16"	"3.00144457657609E-17"	"7.71401421452181E-16"
