"Compounds ID"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: mzCloud Search"	"Annotation Source: Metabolika Search"	"Annotation Source: ChemSpider Search"	"FISh Coverage"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# Metabolika Pathways"	"Metabolika Pathways"	"mzCloud Best Match"	"mzCloud Best Sim. Match"	"MS2"	"Area: SCBIBlank4_1.raw (F34)"	"Area: SERCBLANK_2.raw (F35)"	"Area: TRB00001_Blank_1.raw (F36)"	"Area: UMB00001_Blank_1.raw (F37)"	"Area: SB00114_QUERRU_actual.raw (F1)"	"Area: SB00115_QUERRU.raw (F2)"	"Area: SB00116_QUERRU.raw (F3)"	"Area: SB00117_QUERRU.raw (F4)"	"Area: SB00119_QUERRU.raw (F5)"	"Area: SB00121_QUERRU.raw (F6)"	"Area: SB00124_QUERRU.raw (F7)"	"Area: SB00207_QUERRU.raw (F8)"	"Area: SB00232_QUERRU.raw (F9)"	"Area: SBP00000_QUERRU.raw (F10)"	"Area: SR00147_QUERRU.raw (F11)"	"Area: SR00155_QUERRU.raw (F12)"	"Area: SR00161_QUERRU.raw (F13)"	"Area: SR00165_QUERRU.raw (F14)"	"Area: SRP00001_QUERRU.raw (F15)"	"Area: TR00015_QUERRU.raw (F16)"	"Area: TR00018_QUERRU.raw (F17)"	"Area: TR00022_QUERRU.raw (F18)"	"Area: TR00023_QUERRU.raw (F19)"	"Area: TR00024_QUERRU.raw (F20)"	"Area: TRP00001_QUERRU.raw (F21)"	"Area: UM00000_QUERRU.raw (F22)"	"Area: UM00009_QUERRU.raw (F23)"	"Area: UM00010_QUERRU.raw (F24)"	"Area: UM00033_QUERRU.raw (F25)"	"Area: UM00034_QUERRU.raw (F26)"	"Area: UM00036_QUERRU.raw (F27)"	"Area: UM00057_QUERRU.raw (F28)"	"Area: UM00079_QUERRU.raw (F29)"	"Area: UM00094_QUERRU.raw (F30)"	"Area: UM00117_QUERRU.raw (F31)"	"Area: UM00121_QUERRU.raw (F32)"	"Area: UMP0001_QUERRU.raw (F33)"	"Group Area: Control"	"Group Area: Sample"	"Group CV [%]: Control"	"Group CV [%]: Sample"	"Ratio: (Sample) / (Control)"	"Log2 Fold Change: (Sample) / (Control)"	"P-value: (Sample) / (Control)"	"Adj. P-value: (Sample) / (Control)"
"1"	"Bis(methylbenzylidene)sorbitol"	"C22 H26 O6"	"Full match"	"Full match"	"No results"	"No results"	""	"386.17266"	"11.968"	"15936130689.0111"	"0"	"2"	"0"	""	"99.7"	""	"PreferredDDA"	"2003264101.5855"	"662090559.178489"	"729331.217569862"	"389891.92929942"	"1667380538.11235"	"1780540426.92647"	"1341439436.12781"	"1520274598.87266"	"1146859589.30112"	"1386355736.43781"	"1726770446.02936"	"1104149542.37996"	"1571800011.39393"	"1484915547.51849"	"1694877844.48131"	"1170316748.47982"	"1737731879.22037"	"1009216154.17715"	"15936130689.0111"	"1652527850.19868"	"2233011066.4086"	"3053192265.49976"	"1948593347.05285"	"1108768951.08063"	"2490172051.38896"	"1017109350.00875"	"1971842627.19022"	"1721179635.38028"	"2322870528.90614"	"1857105879.97365"	"1268377370.37346"	"1707811546.12331"	"1293728832.70488"	"1277318442.91466"	"1531738955.52782"	"983968986.42744"	"1017109350.00875"	"331409945.19803"	"1571800011.39393"	"141.623556426804"	"125.656593329464"	"4.743"	"2.25"	"0.156935612758791"	"0.225265177969412"
"2"	"Erucamide"	"C22 H43 N O"	"Full match"	"Full match"	"No results"	"No results"	""	"337.33416"	"17.232"	"13460421028.8282"	"0"	"4"	"0"	""	"96.0"	"89.3"	"PreferredDDA"	"1973418578.94294"	"1567882245.97884"	"421111266.647703"	"7943011607.79112"	"152189955.535825"	"277657813.236398"	"314638068.500016"	"814254886.324832"	"1346005815.62725"	"587114629.47054"	"1281374101.48271"	"703779411.565159"	"1658717219.19748"	"2968193513.64075"	"3608092780.20299"	"5322604495.00238"	"5101463516.05276"	"3912109830.45886"	"13460421028.8282"	"524286938.944745"	"379420197.460112"	"564884677.814629"	"1038564451.52632"	"1495093287.19235"	"5837657334.72867"	"7046636706.21889"	"7034683566.95326"	"3883465488.52759"	"7360720545.61639"	"3524291445.92348"	"5954843799.56931"	"5908346564.95785"	"5307049056.0248"	"5005510673.87876"	"5492276914.3125"	"5152278420.01501"	"7046636706.21889"	"1770650412.46089"	"3608092780.20299"	"113.418167030378"	"83.1179794378399"	"2.038"	"1.03"	"0.767598594938574"	"0.846967648783183"
"4"	"(2S)-3-(beta-D-Galactopyranosyloxy)-1,2-propanediyl (9Z,12Z,15Z,9'Z,12'Z,15'Z)bis(-9,12,15-octadecatrienoate)"	"C45 H74 O10"	"Full match"	"No results"	"No results"	"Full match"	""	"774.52721"	"17.670"	"8751028888.08945"	"1"	"0"	"0"	""	""	""	"OtherDDA"	"34497606.7231799"	"51071765.0121263"	"75593534.3065652"	"4195882.84292391"	"213593323.207799"	"848102136.961589"	"983902442.293803"	"2249694423.92577"	"975573695.442929"	"443240355.510864"	"3514348860.9549"	"2583785275.64892"	"5005697292.43032"	"5274232816.16106"	"7188003907.8923"	"8221893397.83897"	"7990757118.39329"	"8751028888.08945"	"1965082011.11689"	"227432238.066313"	"160234307.697316"	"124428474.117828"	"247437305.314014"	"983121993.037158"	"7162145119.2155"	"2671793760.63628"	"918441164.714544"	"506887213.233026"	"2220578984.80465"	"2161506829.18466"	"3272690125.08616"	"2376068225.32754"	"1205432138.57984"	"2038434306.99512"	"1740800964.68615"	"885843662.441232"	"2671793760.63628"	"42784685.8676531"	"2038434306.99512"	"72.4957314676747"	"97.0018862360368"	"47.644"	"5.57"	"0.00534239650907326"	"0.00983039015703382"
"13"	"Myricetin"	"C15 H10 O8"	"Full match"	"Full match"	"Full match"	"Full match"	""	"318.03730"	"7.802"	"3650681266.38823"	"3"	"8"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"99.4"	"83.5"	"PreferredDDA"	"44461.6893312388"	"112918.223342964"	"68511.8653880338"	"91339.8823630176"	"14989880.6783743"	"7494723.13719168"	"1456665.7663518"	"790578903.567122"	"612605431.057284"	"1167537425.49668"	"8453064.4164462"	"1963828480.20515"	"9896927.78031215"	"947887089.285242"	"11143844.0789075"	"1507990.74326875"	"177237.415900701"	"129088678.40707"	"2288307357.93518"	"3650681266.38823"	"39441951.6567038"	"3589232832.13778"	"2900463903.32044"	"2198772113.04626"	"32131702.7486952"	"366655079.853721"	"15589433.2570532"	"1080676841.82274"	"2549873.47443902"	"323969.228394792"	"3134777.49788105"	"4590869.30044002"	"95429.3065761353"	"430400387.795402"	"64920.1028626769"	"196230881.803875"	"366655079.853721"	"79925.8738755257"	"39441951.6567038"	"37.1574847294631"	"156.864454750409"	"493.482"	"8.95"	"2.47814941583075E-12"	"3.37341762376328E-11"
"14"	"Quercetin"	"C15 H10 O7"	"Full match"	"Full match"	"Full match"	"Full match"	""	"302.04246"	"8.722"	"3555360322.74313"	"3"	"18"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"98.6"	""	"PreferredDDA"	"228272.471622769"	"439120.193665485"	"46518.5067117923"	"55426.6488947375"	"13738280.4070712"	"1427369080.57996"	"15769906.3575985"	"900180768.526888"	"204267052.607567"	"579714270.063965"	"4967515.14955838"	"1167647960.70027"	"5083232.72970093"	"963788094.897621"	"3647793.16171488"	"8962031.95320969"	"15715836.4046889"	"2679081.29282925"	"3555360322.74313"	"1491296599.94566"	"4285368.29452903"	"1607546703.40446"	"7215749.60233163"	"1318276774.02383"	"9356534.60097133"	"226302537.831091"	"1869768.77682713"	"170239602.152352"	"129000921.850082"	"32235331.1893574"	"1621028.70494384"	"2239165.09255704"	"330928.723038953"	"175090173.401896"	"901789.068288101"	"72010226.2557914"	"226302537.831091"	"141849.560258753"	"32235331.1893574"	"95.9642307002205"	"175.643050219437"	"227.250"	"7.83"	"2.62698668216592E-05"	"7.76151741496664E-05"
"15"	"Myricetin"	"C15 H10 O8"	"Full match"	"Full match"	"Full match"	"Full match"	""	"318.03728"	"7.730"	"3461387451.88019"	"3"	"8"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"99.6"	"82.2"	"PreferredDDA"	"38757.0901258054"	"102160.832794164"	"82221.99193366"	"39930.0450988921"	"1979346034.13539"	"506317.097858975"	"1599960.26474267"	"34346711.8884454"	"45219424.2618955"	"17147944.1903034"	"1599524156.89229"	"27471534.3171842"	"1156676314.8947"	"43703681.4709691"	"1781093127.96337"	"995313.505297996"	"5457236.51337699"	"1342865331.10901"	"10882695.9092493"	"12213154.8563766"	"1530257712.86408"	"147387700.364154"	"2900463903.32044"	"22178677.0701464"	"3461387451.88019"	"366655079.853721"	"925181334.860687"	"1079845264.02096"	"69981.763912994"	"420359.420582963"	"878451424.513306"	"309124244.552569"	"208074.995906213"	"430400387.795402"	"62343.7477352884"	"196259263.864551"	"366655079.853721"	"61076.018516276"	"147387700.364154"	"48.0214334340481"	"143.835346725291"	"2413.184"	"11.24"	"1.71585206053636E-12"	"2.41857892079969E-11"
"16"	"Myricitrin"	"C21 H20 O12"	"Full match"	"Full match"	"Partial match"	"Partial match"	""	"464.09497"	"7.785"	"3331735026.5503"	"7"	"2"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"90.5"	""	"PreferredDDA"	"99311.1598651296"	"172901.74298111"	"113553.730556582"	"73709.0176091237"	"1094808776.74716"	"4342071.71612373"	"799148.065954152"	"549597146.397164"	"494494322.685903"	"800431776.728655"	"930519075.550078"	"1274406883.84278"	"725067916.080927"	"693257937.119106"	"1406635073.80132"	"1000886.48320181"	"4132138.19359219"	"1117504100.74025"	"1580193963.62754"	"3331735026.5503"	"1605112671.00973"	"3020776268.11769"	"2773249742.84927"	"2154754053.02376"	"2846498440.67619"	"188731555.469623"	"349056740.194768"	"538166826.037982"	"1348994.73264633"	"323777.631424062"	"313266312.796892"	"27543673.1993267"	"148111.009517833"	"204709777.687397"	"179844.067265077"	"96382855.4949763"	"188731555.469623"	"106432.445210856"	"538166826.037982"	"36.6107827877289"	"115.027047432452"	"5056.417"	"12.30"	"3.20520583169448E-14"	"6.33230361562103E-13"
"18"	"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}-4H-chromen-4-one"	"C21 H20 O11"	"Full match"	"Full match"	"Not the top hit"	"Partial match"	""	"448.10023"	"8.686"	"3127770564.18191"	"12"	"4"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"96.2"	""	"PreferredDDA"	"4969604.51494851"	"5582686.93300338"	"94019.714232489"	"104014.124192792"	"479187154.761755"	"1255704636.67903"	"1709356500.9014"	"780077029.294771"	"168023193.481803"	"628107471.606086"	"732931212.11311"	"1101970052.68202"	"470718745.39128"	"931306667.644263"	"515390225.229501"	"2441951738.94837"	"1928733829.86737"	"546007568.00086"	"3127770564.18191"	"1978596288.78484"	"1126350940.41657"	"1860143474.78472"	"1876623930.04197"	"1689807863.32638"	"1828528274.27672"	"172871121.72699"	"140918267.63745"	"154999221.117097"	"191700069.914164"	"705386505.156455"	"133659427.618892"	"139271930.0277"	"16111322.8745951"	"147652058.366053"	"58950509.9688686"	"67664555.9719742"	"172871121.72699"	"2536809.31957065"	"628107471.606086"	"111.605195155842"	"92.8583739916234"	"247.597"	"7.95"	"0.00933741976809814"	"0.016530880919121"
"19"	"PC"	"C42 H80 N O8 P"	"Full match"	"No results"	"No results"	"Full match"	""	"757.56148"	"18.347"	"3100606550.17661"	"3"	"0"	"0"	""	""	""	"PreferredDDA"	"3444384.97949055"	"11277478.0718624"	"9533970.9894452"	"7073313.24575735"	"7029529.98324708"	"21740600.2906717"	"36156860.4092083"	"74302610.5501648"	"65656987.8377768"	"22736677.2709398"	"204115525.824226"	"156861307.945916"	"568590111.738853"	"603311646.214408"	"260439045.834903"	"1896990573.24618"	"2196813005.77094"	"2448143839.55489"	"160564933.957039"	"42815993.2392274"	"28490012.7444779"	"56432710.5509874"	"78271308.616576"	"430948404.44629"	"3100606550.17661"	"1360756465.44405"	"517853699.313935"	"280087082.931109"	"1847765195.48288"	"1807428451.87212"	"1864580278.95286"	"1555329033.12428"	"2568973557.21396"	"1842606381.03646"	"1933869860.48126"	"1142999781.75454"	"1360756465.44405"	"8303642.11760127"	"517853699.313935"	"43.3566952282165"	"101.935679624264"	"62.365"	"5.96"	"1.24555269187783E-07"	"6.04180770539048E-07"
"60"	"isoquercetin"	"C21 H20 O12"	"Full match"	"No results"	"Not the top hit"	"Full match"	""	"464.09513"	"7.730"	"2843192691.86914"	"7"	"0"	"1"	"Superpathway of flavones and derivatives biosynthesis"	""	""	"NoMSn"	"74408.0501155586"	"159211.930102542"	"91414.1322481703"	"67295.018198219"	"1094037874.84785"	"312756.800127822"	"822988.046303861"	"3273875.17175222"	"765726.138608958"	"93926531.4064479"	"929987247.216257"	"5362835.50011819"	"724926226.387578"	"690897238.813033"	"1404530851.2079"	"1601606.1994674"	"4132327.60436921"	"1117312821.81133"	"22148193.6676953"	"8224809.04035585"	"1604880716.11907"	"4088727.61575033"	"2770552315.58658"	"3510947.29254283"	"2843192691.86914"	"188076693.506412"	"493255244.151009"	"536643035.845946"	"419665.225726345"	"323311.08332215"	"379946772.779965"	"150633395.582992"	"194598.697910788"	"204360840.365362"	"207703.730362139"	"96161935.8174595"	"188076693.506412"	"82911.0911818644"	"96161935.8174595"	"42.8115711873839"	"159.466286428193"	"1159.820"	"10.18"	"7.58989376227754E-12"	"9.09730653733777E-11"
